Date,Price,High,Low,Open,Vol.,Change %
2015-12-07,2.9706552028656006,3.0806791846506383,2.596572545571806,2.6259123206821773,658995,0.13128494739589835
2015-12-14,2.772611379623413,3.0366695313061336,2.6919269978222315,2.977989980905275,318307,-0.06666671482141295
2015-12-21,2.933980703353882,2.933980703353882,2.7432719646310346,2.7432719646310346,170502,0.05820120515857741
2015-12-28,2.860630989074707,3.0073298706651137,2.8166211497187237,2.8753008772337476,161527,-0.025000067040429896
2016-01-04,2.64058256149292,2.992660259675826,2.3178448172243202,2.897305977810681,455716,-0.07692303845626847
2016-01-11,2.772611379623413,2.816621042424057,2.5305580593410144,2.6919269978222315,104098,0.049999882622813185
2016-01-18,2.7799465656280518,2.8606311293377793,2.5672330020132845,2.772611621188883,182837,0.002645587498683266
2016-01-25,3.0073294639587402,3.080678894834285,2.7139315655777234,2.8092858257159317,257807,0.08179398163335483
2016-02-01,2.911975145339966,3.0073294035631952,2.8239556551781506,2.999994635501781,150183,-0.03170730701825186
2016-02-08,2.897305488586426,2.9999948727496992,2.677257008098095,2.9339802061880063,439211,-0.00503769985022573
2016-02-15,2.933980703353882,2.9926602614597186,2.83129130178979,2.897305979537734,272171,0.012658387219412592
2016-02-22,2.926645517349243,2.9486503498250882,2.823956124249768,2.933980461507858,256435,-0.002500079839057423
2016-02-29,2.897305488586426,2.9339802061880063,2.7872811609028365,2.919310319147374,230190,-0.010025139221299217
2016-03-07,2.787281036376953,2.9339800751081277,2.7799460931843365,2.926645131915511,229031,-0.03797475020942742
2016-03-14,2.911975145339966,2.926645031220463,2.7872809404769088,2.860630544758227,198048,0.044736826798454477
2016-03-21,2.823955774307251,2.933980097931208,2.8019509445582282,2.911975268182185,75858,-0.03022669035261938
2016-03-28,3.5574512481689453,3.6674755856912276,2.8239561310307,2.8239561310307,810293,0.2597404253052189
2016-04-04,3.4400923252105713,3.5134417708931296,3.234713527541662,3.447427094899954,327039,-0.03298960822549002
2016-04-11,3.6308000087738037,3.8141737536564735,3.3520721823679676,3.3814119535685823,385079,0.05543679225282383
2016-04-18,3.4400923252105713,3.784834894797468,3.388747538353907,3.5647865577497932,737243,-0.05252497606653872
2016-04-25,3.407153606414795,3.6521625470128085,3.1851144023162976,3.6521625470128085,334865,-0.009574951972767254
2016-05-02,3.407153606414795,3.629192810513292,3.2157404742546025,3.4760624508217686,280293,0.0
2016-05-09,3.3382444381713867,3.52200083187861,3.2157398106084045,3.414809602216063,127769,-0.02022484930343904
2016-05-16,3.476062059402466,3.514344827560333,3.29996198304104,3.338244751198907,43596,0.0412844606749565
2016-05-23,3.368870973587036,3.5526273929195673,3.338244903698281,3.491375253142057,233685,-0.03083693098214013
2016-05-30,3.368870973587036,3.43777944829096,3.261679728976393,3.3765273085134493,141728,0.0
2016-06-06,3.3918402194976807,3.4530927221281735,3.3688708504663416,3.407153253882419,202147,0.006818084186283935
2016-06-13,3.506687879562378,3.5602836781696423,3.3535575479580637,3.3841836142789266,146150,0.03385998532728807
2016-06-20,3.613879680633545,3.6368494165361676,3.3305883400200718,3.483719060823903,162174,0.030567819193690005
2016-06-27,3.3994970321655273,3.6138795206735543,3.3535579274852356,3.598566485780124,212315,-0.059322021598249286
2016-07-04,3.3994970321655273,3.4454361368458186,3.3688709623786663,3.3688709623786663,73500,0.0
2016-07-11,3.9354536533355713,4.01201882847993,3.3688709921757636,3.43777946725991,706692,0.15765762290683094
2016-07-18,4.364218711853027,4.563288519211226,3.9431100937431554,4.149836235565846,1148281,0.10894933501606552
2016-07-25,4.28765344619751,4.440784148081558,4.18046221044274,4.402501381337666,395189,-0.01754386539968078
2016-08-01,4.07327127456665,4.394845005505568,4.07327127456665,4.211088587826186,293370,-0.0499998832277323
2016-08-08,4.1728057861328125,4.287653728843859,4.004362404557079,4.211088555400343,347026,0.024436013429218972
2016-08-15,4.1728057861328125,4.211088555400343,4.057958208513313,4.111553647378001,168000,0.0
2016-08-22,4.2417144775390625,4.28765358001053,4.065614402186002,4.203431709600406,197986,0.016513754758308963
2016-08-29,4.234058380126953,4.287653820132747,4.142179804946992,4.234058380126953,122202,-0.0018049535046854581
2016-09-05,4.24937105178833,4.287653453505955,4.142179450759327,4.218744984377621,287418,0.003616547124916547
2016-09-12,4.1728057861328125,4.287653728843859,4.088584277890718,4.088584277890718,169242,-0.018018023072683964
2016-09-19,4.823610782623291,4.9767411329862465,4.211088650988362,4.211088650988362,564446,0.1559634044443794
2016-09-26,4.211089134216309,4.900176520106387,3.981393217222417,4.900176520106387,3537518,-0.1269840532352957
2016-10-03,4.24937105178833,4.279997119199039,4.042644914220285,4.2417143523898915,910652,0.009090740269772413
2016-10-10,4.547975540161133,4.547975540161133,4.18811868869227,4.241714490957631,1402992,0.070270278762109
2016-10-17,4.517349720001221,4.892519261201619,4.287653829202756,4.670480070472494,7026490,-0.006733945662079632
2016-10-24,4.49437952041626,4.662823253618515,4.134523051452104,4.5862577212039355,4111547,-0.005084884060062245
2016-10-31,4.18046236038208,4.440784307357784,4.103897189239677,4.440784307357784,1518493,-0.06984660699172673
2016-11-07,4.471410274505615,4.540318744426745,4.065614329007731,4.134523164020388,1465019,0.06959706583674241
2016-11-14,4.5556321144104,4.662823724580954,4.318279889189693,4.471410604394104,2012045,0.018835632324993412
2016-11-21,4.56328821182251,4.8236101377271545,4.486723046877469,4.555631512782253,3105420,0.0016805785058655598
2016-11-28,4.770014762878418,4.792984496945379,4.502036479252077,4.593914685336844,3766980,0.045302102663672184
