Date,Price,High,Low,Open,Vol.,Change %
2020-10-26,51.0,56.029998779296875,50.0,56.0,1818309,-0.08602149287974437
2020-11-02,55.41999816894531,57.0,50.41999816894531,51.209999084472656,1037486,0.08666663076363368
2020-11-09,54.900001525878906,56.97999954223633,50.0099983215332,56.97999954223633,1395205,-0.00938283399940254
2020-11-16,54.09000015258789,56.400001525878906,51.0,56.0,483713,-0.014754122964991123
2020-11-23,50.0,53.4900016784668,49.099998474121094,53.0,519685,-0.0756147188214088
2020-11-30,45.0,53.0,44.255001068115234,49.0,1436000,-0.09999999999999998
2020-12-07,45.599998474121094,48.5,42.005001068115234,48.5,4168391,0.013333299424913125
2020-12-14,45.75,47.900001525878906,43.10499954223633,46.79999923706055,4885874,0.003289507256541535
2020-12-21,45.89500045776367,47.70000076293945,44.0,46.70000076293945,683255,0.0031694089128671
2020-12-28,46.459999084472656,47.13999938964844,44.70000076293945,47.0,1408904,0.01231067918234241
2021-01-04,52.0,53.650001525878906,46.79499816894531,47.79999923706055,1374930,0.11924238107397778
2021-01-11,49.79499816894531,52.060001373291016,49.025001525878906,52.060001373291016,920177,-0.04240388136643625
2021-01-18,51.54999923706055,52.349998474121094,49.20500183105469,50.0,787554,0.0352445252063438
2021-01-25,49.7400016784668,54.0,48.30500030517578,53.0,1107435,-0.035111495351730304
2021-02-01,57.0,58.099998474121094,50.0,54.5,824847,0.14595894806083543
2021-02-08,56.20000076293945,58.0,54.18000030517578,57.70000076293945,883198,-0.014035074334395548
2021-02-15,60.0,62.81999969482422,55.5099983215332,57.880001068115234,1291108,0.06761564386964247
2021-02-22,54.5,61.0,52.11000061035156,61.0,734874,-0.09166666666666667
2021-03-01,46.150001525878906,59.900001525878906,45.92499923706055,59.900001525878906,2968315,-0.15321098117653387
2021-03-08,44.59000015258789,48.0,42.70000076293945,45.5,2398924,-0.03380284554088764
2021-03-15,44.20000076293945,47.04999923706055,44.20000076293945,44.599998474121094,3971949,-0.00874634196711932
2021-03-22,43.400001525878906,45.98500061035156,40.505001068115234,44.30500030517578,2009689,-0.018099529937821268
2021-03-29,41.5,44.5,41.334999084472656,44.5,1394804,-0.04377883546261996
2021-04-05,45.7400016784668,46.25,41.5,41.5,1096073,0.10216871514377823
2021-04-12,44.15999984741211,46.55500030517578,43.79999923706055,46.5,1777188,-0.03454310828760876
2021-04-19,41.5,47.654998779296875,39.61000061035156,46.654998779296875,1358336,-0.060235503999169326
2021-04-26,40.959999084472656,43.0,39.779998779296875,43.0,776456,-0.013012070253670904
2021-05-03,39.125,41.3650016784668,37.20500183105469,41.099998474121094,1432248,-0.04479978333711143
2021-05-10,36.34000015258789,39.1150016784668,35.040000915527344,38.36000061035156,1444533,-0.07118210472618813
2021-05-17,37.0,40.5,35.0,36.34000015258789,2163197,0.01816180089820696
2021-05-24,38.005001068115234,39.29999923706055,36.540000915527344,37.0,5164920,0.02716219103014139
2021-05-31,35.20000076293945,39.0,34.654998779296875,37.900001525878906,1970902,-0.07380608410320688
2021-06-07,33.66999816894531,36.19499969482422,32.5,35.404998779296875,3346996,-0.04346598184182471
2021-06-14,33.0,35.599998474121094,32.849998474121094,35.599998474121094,1759842,-0.01989896659879442
2021-06-21,32.26499938964844,33.275001525878906,31.549999237060547,33.275001525878906,2833756,-0.02227274576822913
2021-06-28,32.3650016784668,33.03499984741211,30.280000686645508,32.75,2180380,0.0030994046400150133
2021-07-05,31.5,33.119998931884766,31.079999923706055,33.0,2023120,-0.026726452451949156
2021-07-12,33.57500076293945,33.57500076293945,30.565000534057617,31.7450008392334,692632,0.06587304009331607
2021-07-19,32.79999923706055,33.79999923706055,31.360000610351562,33.5,1600939,-0.02308269570419086
2021-07-26,32.599998474121094,33.66999816894531,32.0,33.334999084472656,1685462,-0.006097584377790843
2021-08-02,31.415000915527344,32.724998474121094,30.510000228881836,32.400001525878906,1242801,-0.03634962006315545
2021-08-09,33.224998474121094,36.29499816894531,30.80500030517578,31.5,3820587,0.05761570924224069
2021-08-16,37.5,38.599998474121094,32.060001373291016,34.0,7161197,0.12866822339235617
2021-08-23,38.709999084472656,38.880001068115234,35.974998474121094,37.79999923706055,2224549,0.032266642252604116
2021-08-30,39.334999084472656,42.0,38.5,38.505001068115234,1391375,0.016145699167704253
2021-09-06,38.869998931884766,40.915000915527344,37.40999984741211,39.45000076293945,843232,-0.011821537140227045
2021-09-13,39.040000915527344,39.994998931884766,36.005001068115234,39.494998931884766,814946,0.004373604021458588
2021-09-20,35.82500076293945,37.900001525878906,33.650001525878906,37.79999923706055,934825,-0.08235143640350662
2021-09-27,34.32500076293945,36.060001373291016,32.20500183105469,36.0,801309,-0.041870201480964986
2021-10-04,32.0,35.79999923706055,30.604999542236328,35.79999923706055,562051,-0.06773490782991465
2021-10-11,31.344999313354492,32.4900016784668,29.780000686645508,31.834999084472656,1695142,-0.02046877145767212
2021-10-18,30.18000030517578,32.19499969482422,29.25,31.399999618530273,798629,-0.03716698145475361
2021-10-25,27.0,30.274999618530273,26.6200008392334,30.18000030517578,3551147,-0.10536780228694764
2021-11-01,21.905000686645508,30.850000381469727,20.709999084472656,27.200000762939453,6385668,-0.18870367827238865
2021-11-08,22.299999237060547,22.75,20.155000686645508,21.905000686645508,4942614,0.01803234594992964
2021-11-15,20.440000534057617,22.75,20.3799991607666,22.299999237060547,2095400,-0.08340801644117468
2021-11-22,19.25,21.299999237060547,19.013999938964844,21.299999237060547,1903789,-0.05821920268910019
2021-11-29,19.399999618530273,21.594999313354492,19.0,20.799999237060547,3545913,0.007792187975598663
2021-12-06,20.200000762939453,21.399999618530273,18.809999465942383,19.74799919128418,3035287,0.041237173203088284
2021-12-13,19.0,21.0,18.538000106811523,21.0,3484065,-0.05940597611961829
2021-12-20,19.003999710083008,19.559999465942383,18.700000762939453,19.0,1794756,0.0002105110570003177
2021-12-27,19.27199935913086,19.93199920654297,18.988000869750977,19.200000762939453,2330104,0.014102276001701775
2022-01-03,17.408000946044922,20.704999923706055,17.1200008392334,19.27400016784668,3410910,-0.09672055184055384
2022-01-10,14.770000457763672,17.399999618530273,14.25,17.399999618530273,6703063,-0.15153954187258933
2022-01-17,14.302000045776367,15.619999885559082,14.241999626159668,15.208000183105469,5502144,-0.03168587660681521
2022-01-24,13.09000015258789,14.350000381469727,12.295999526977539,14.350000381469727,5648206,-0.08474338479298227
2022-01-31,13.444000244140625,14.800000190734863,12.751999855041504,13.899999618530273,4100087,0.027043551369458907
2022-02-07,15.5,16.200000762939453,12.697999954223633,13.699999809265137,6125894,0.15293065445721443
2022-02-14,15.001999855041504,16.788000106811523,14.407999992370605,15.765999794006348,2949482,-0.03212904161022556
2022-02-21,15.805999755859375,16.195999145507812,13.404000282287598,14.899999618530273,2913974,0.05359284819268173
2022-02-28,14.100000381469727,16.610000610351562,13.807999610900879,15.300000190734863,1644854,-0.10793365815137534
2022-03-07,15.013999938964844,15.300000190734863,13.039999961853027,13.399999618530273,2533072,0.06482266189838537
2022-03-14,16.780000686645508,17.79800033569336,15.0,15.0,2481501,0.11762360162913543
