Date,Price,High,Low,Open,Vol.,Change %
2015-12-07,44.20626449584961,46.579755207036165,44.05792132640045,46.579755207036165,348200,-0.05095538688793666
2015-12-14,42.574485778808594,44.20626049506955,41.981113154713704,43.90957418302211,435640,-0.03691283883971286
2015-12-21,42.27779006958008,43.31619193093819,41.239388208221975,42.277790069580085,333985,-0.006968861838284268
2015-12-28,43.61288070678711,44.502939496721545,41.98110625857399,42.277792521885466,239599,0.03157900720472284
2016-01-04,43.464534759521484,44.79962285793682,41.6844172949677,43.612877881567634,316284,-0.003401425103353395
2016-01-11,42.27779006958008,45.3929956536544,41.09104508517082,43.909564423142825,316232,-0.027303747676292178
2016-01-18,42.42613983154297,43.90957129418433,41.98111039275056,41.98111039275056,334878,0.0035089289605425567
2016-01-25,41.832767486572266,43.0195126634963,41.53608119234125,42.72282636926529,279658,-0.01398600832710084
2016-02-01,43.31619644165039,43.46453958014919,41.68442191816356,42.277794472158774,411108,0.035460932761722797
2016-02-08,41.536075592041016,43.3161931174142,40.64601682935442,43.3161931174142,303985,-0.04109596400060911
2016-02-15,43.909568786621094,44.206255062206374,41.536078581938874,41.83276485752415,351873,0.05714293323933761
2016-02-22,45.09632110595703,45.39300742902254,43.76123265216225,43.90957581369501,278140,0.027027191387439364
2016-02-29,45.393001556396484,45.68968784107881,44.50294270234949,44.651285844690655,218582,0.006578817144360372
2016-03-07,45.54134750366211,45.98637695809529,44.3546022918403,45.54134750366212,223698,0.0032680356482115425
2016-03-14,45.689693450927734,46.87643873536741,44.65129132704301,45.98637977203765,257995,0.003257390380328573
2016-03-21,45.393001556396484,45.68968784107881,44.651285844690655,45.39300155639648,111358,-0.00649362847772017
2016-03-28,47.91484069824219,47.91484069824219,44.651291176999685,45.39300697728207,195350,0.05555568161124036
2016-04-04,46.57975387573242,47.766499197407136,45.68969488447639,47.766499197407136,157547,-0.0278637433215706
2016-04-11,47.321468353271484,47.32146835327149,46.13472306541515,46.13472306541515,124609,0.015923537928470788
2016-04-18,48.9532356262207,49.843294455788346,47.02477482882413,47.32146110534668,383405,0.03448260017562221
2016-04-25,44.799617767333984,49.24991092302942,44.502931556954294,48.95322471264972,262434,-0.08484868887117902
2016-05-02,46.69668197631836,48.24292972387857,46.38743242680631,47.0059315258304,145435,0.04234554452756156
2016-05-09,47.00593566894531,47.77905961086875,46.23281172702187,46.69668609217593,97888,0.006622605280259153
2016-05-16,46.38743209838867,47.16055596669515,45.768933003743484,47.00593119303385,55618,-0.013157988704078916
2016-05-23,47.3151741027832,47.46979885475308,45.7689265830844,46.38742559096392,110197,0.019999856910095204
2016-05-30,47.93368148803711,47.9336814880371,45.76893458212575,47.31518237206243,164092,0.013072072479545671
2016-06-06,47.3151741027832,48.0882978626326,46.23280083899404,47.93367311066272,121789,-0.01290339832145515
2016-06-13,44.22269058227539,47.31518642718975,44.22269058227539,46.542062465961166,268331,-0.06535923367395802
2016-06-20,47.46980285644531,47.46980285644532,44.22268279134645,45.150431381374695,218956,0.07342638431573345
2016-06-27,48.55217361450195,49.47992215490645,44.99580420961805,46.696676533692965,264645,0.022801248223631054
